"ID_STAZ","DATARIL","VALORE"
"1385","2020-07-03 05:00:00.0","23.50"
"1385","2020-07-03 04:00:00.0","23.80"
"1385","2020-07-03 03:00:00.0","23.70"
"1385","2020-07-03 02:00:00.0","23.40"
"1385","2020-07-03 01:00:00.0","22.90"
"1385","2020-07-03 00:00:00.0","23.00"
"683","2020-07-04 23:00:00.0","22.00"
"683","2020-07-04 22:00:00.0","22.40"
"683","2020-07-04 21:00:00.0","23.00"
"683","2020-07-04 20:00:00.0","23.80"
"683","2020-07-04 19:00:00.0","25.40"
"683","2020-07-04 18:00:00.0","28.00"
"683","2020-07-04 17:00:00.0","29.90"
"683","2020-07-04 16:00:00.0","31.60"
"683","2020-07-04 15:00:00.0","32.90"
"683","2020-07-04 14:00:00.0","33.50"
"683","2020-07-04 13:00:00.0","31.70"
"683","2020-07-04 12:00:00.0","31.20"
"683","2020-07-04 11:00:00.0","31.90"
"683","2020-07-04 10:00:00.0","31.70"
"683","2020-07-04 09:00:00.0","32.10"
"683","2020-07-04 08:00:00.0","31.00"
"683","2020-07-04 07:00:00.0","28.70"
"683","2020-07-04 06:00:00.0","27.00"
"683","2020-07-04 05:00:00.0","24.50"
"683","2020-07-04 04:00:00.0","24.10"
"683","2020-07-04 03:00:00.0","24.60"
"683","2020-07-04 02:00:00.0","25.30"
"683","2020-07-04 01:00:00.0","26.30"
"683","2020-07-04 00:00:00.0","26.10"
"684","2020-07-04 23:00:00.0","21.50"
"684","2020-07-04 22:00:00.0","23.10"
"684","2020-07-04 21:00:00.0","22.80"
"684","2020-07-04 20:00:00.0","21.80"
"684","2020-07-04 19:00:00.0","22.60"
"684","2020-07-04 18:00:00.0","23.10"
"684","2020-07-04 17:00:00.0","23.70"
"684","2020-07-04 16:00:00.0","25.00"
"684","2020-07-04 15:00:00.0","25.50"
"684","2020-07-04 14:00:00.0","26.60"
"684","2020-07-04 13:00:00.0","26.50"
"684","2020-07-04 12:00:00.0","25.80"
"684","2020-07-04 11:00:00.0","25.80"
"684","2020-07-04 10:00:00.0","26.10"
"684","2020-07-04 09:00:00.0","26.20"
"684","2020-07-04 08:00:00.0","27.90"
"684","2020-07-04 07:00:00.0","25.10"
"684","2020-07-04 06:00:00.0","23.50"
"684","2020-07-04 05:00:00.0","22.10"
"684","2020-07-04 04:00:00.0","21.80"
"684","2020-07-04 03:00:00.0","24.70"
"684","2020-07-04 02:00:00.0","25.30"
"684","2020-07-04 01:00:00.0","26.50"
"684","2020-07-04 00:00:00.0","26.60"
"685","2020-07-04 23:00:00.0","21.70"
"685","2020-07-04 22:00:00.0","22.10"
"685","2020-07-04 21:00:00.0","22.40"
"685","2020-07-04 20:00:00.0","22.70"
"685","2020-07-04 19:00:00.0","23.70"
"685","2020-07-04 18:00:00.0","25.20"
"685","2020-07-04 17:00:00.0","26.70"
"685","2020-07-04 16:00:00.0","28.70"
"685","2020-07-04 15:00:00.0","29.00"
"685","2020-07-04 14:00:00.0","29.80"
"685","2020-07-04 13:00:00.0","34.20"
"685","2020-07-04 12:00:00.0","34.60"
"685","2020-07-04 11:00:00.0","34.70"
"685","2020-07-04 10:00:00.0","34.30"
"685","2020-07-04 09:00:00.0","32.80"
"685","2020-07-04 08:00:00.0","31.70"
"685","2020-07-04 07:00:00.0","29.00"
"685","2020-07-04 06:00:00.0","26.40"
